Complimenten,Afbeelding - Compliments
"Dat gaat goed zeg, het is alsof Ajax elke wedstrijd wint!",02
"Kijk, hier word ik vrolijk van; ik wil wel een TikTok dansje doen zo, ga zo door.",08
"Wauw, alsof Mika Godts weer voor Ajax scoort!",09
"Hoppa, weer een goed antwoord! Tijd voor een TikTok-dansje.",22
Jij bent sneller dan Mika Godts aan de bal!,06
Yes! Hier word ik blijer van dan van nieuwe sneakers.,27
Jij bent een ster! Je schittert nog harder dan mijn oorbellen.,06
Super! Jij bent mijn favoriete leerling (voor de komende 5 minuten).,04
Jij bent net zo onweerstaanbaar goed als een doosje Malline Pralinés.,19
"Jij hebt rizz met cijfers, ik zweer het.",26
Ajax-klasse: jij scoort ‘m netjes.,14
Wat een topper! Jij bent mijn favoriete Grand Cru chocolaatje.,10
Goed bezig! Jij bent net zo scherp als Jorrel Hato achterin.,29
Fantastisch! Saranghae! (Dat betekent: ik hou hiervan!),18
"Zo hee, jij glimt van trots en ik glim met je mee!",25
Dit antwoord is lekkerder dan verse munt-thee met veel gember.,13
Netjes! Jij bent net zo betrouwbaar als Pasveer in de goal.,02
"Jij gaat als een trein! Of nee, als een vliegtuig naar Azië!",09
"Kassa! Dit antwoord is goud waard, letterlijk!",11
Sheesh! Jij bent vandaag echt een reken-rizzler.,12
Niet mid: dit is mega-goed!,20
Jij bent geen NPC; jij denkt zelf.,10
Dit antwoord heeft sigma-energie: rustig en sterk.,23
Jij laat die som “cooken”: precies goed.,07
Jouw antwoord glimt harder dan mijn bling-sneakers.,06
"Dit is bonbon-waardig, Pierre Marcolini-niveau.",24
Donkere chocola goed? Jouw som is nóg beter,20
Nasi-kuning vibe: goud waard.,10
Paraplu-moment: jij houdt het droog en goed.,15
Jij bent echt sigma met sommen: rustig en sterk.,23
Jij bent geen NPC: jij denkt zelf.,28
"Jij bent niet cooked, jij kookt juist alles goed.",30
“6-7”? Nee. Jij doet gewoon 10/10.,26
Ajax-energie: strak gespeeld.,09
Barcelona-stijl: snel én precies.,05
LA zou hier van gaan spinnen.,20
"Dit is bonbon-waardig, en niet met melkchoc.",01
Munt-thee focus: helder in je hoofd.,13